	
TUESDAYS WITH MRRIE - The Curriculum	سێ شەمەیل وە لای موری - بەرنامەی دەرس
	
The last class of my old professor's life took place once a week in his house, by a window in the study where he could watch a small hibiscus plant shed its pink leaves.	ئاخرین کڵاس دەرس زندگی ئوستاد نازەنینم هەفتەی یێ جا وە ناو ماڵ خوەی تەشکیل ئەۊا.
	
The class met on Tuesdays.	وە پاڵ دەلاقەی1 وە ناو ئوتاغ موتاڵعه، وە جێگ وا ئەتانست بنواڕێده گیای بامیەی بۊچکەڵانەی وه گەڵائەیل سوورەتییەوە.
	
It began after breakfast.	کڵاسەگە سێ شەمەیل، دۊای ژێرقلیانی، تەشکیل ئەۊا.
	
The subject was The Meaning of Life.	مەوزووع دەرس "مەعنای زندگی" بۊ.
	
It was taught from experience.	ئوستاد وە رۊ تەجروبه، تەدریس ئەکرد.
	
No grades were given, but there were oral exams each week.	نمرەیگ دەر کار نەۊ وەلێ هەر هەفته ئمتحان شەفاهی داشتین.
	
You were expected to respond to questions, and you were expected to pose questions of your own.	بایه سواڵاتێگ جواو بیارداید و خوەدیش یێ سری سواڵ بپرسیای.
	
You were also required to perform physical tasks now and then, such as lifting the professor's head to a comfortable spot on the pillow or placing his glasses on the bridge of his nose.	وەخت وەختیش نیاز بۊ حەرەکات فیزیکیگ ئەنجام بیاتای، وەک هەڵاوڕ کردن سەر ئوستاد وە بان باڵشت و وە پوزیشن راحەتێگ نیانێ، یا میزان کردن عەینەکەگانێ وە بان لۊتێ.
	
Kissing him good-bye earned you extra credit.	ماچ کردن ئوستاد کای2 خوداحافزیش تەشویقی داشت.
	
No books were required, yet many topics were covered, including love, work, community, family, aging, forgiveness, and, finally, death.	نیاز وە هیچ کتاوێگ نەۊ، با این حاڵ مەوزووعات فەرەیگ پووشش دریاۊ، شامڵ عشق، کار، جامعه، خانەواده، پیری، گوزەشت و دەرنەهایەت مەرگ.
	
The last lecture was brief, only a few words.	ئوستاد دەرس ئاخرێ کوڵبڕ3 وت؛ تەنیا وە چەن کەلیمه.
	
A funeral was held in lieu of graduation.	وە جیای مەراسم فارغ وە تەحسیلیش، مەراسم خاکسپاری بەرگوزار بۊ.
	
Although no final exam was given, you were expected to produce one long paper on what was learned.	هەرچەن ئمتحان پایانی دەر کار نەۊ وەلێ بایە مەقاڵەی موفەسەڵێگ لەو چشتەک یاد گردۊد بنۊسای.
	
That paper is presented here.	ئەو مەقاڵه وا بایه بنۊسریا ئی کتاوەسە وا ها بەرچەودان.
	
The last class of my old professor's life had only one student.	ئاخرین کڵاس دەرس زندگی ئوستاد نازەنینم تەنیا یێ شاگرد داشت.
	
I was the student.	ئەو شاگرده من بۊم.
	
It is the late spring of 1979, a hot, sticky Saturday afternoon.	ئاخرەیل بەهار ساڵ 1979ه. نەهارەودۊان شەمەی فره گەرم و شەرجیگ.
	
Hundreds of us sit together, side by side, in rows of wooden folding chairs on the main campus lawn.	سەدان4 نەفەر، شان وە شان، ئەنیشینه بان سەندەلیەیل چوێنێگ وە بان چیمەن مەحوەتەی ئەسڵی دانشکەده.
	
We wear blue nylon robes.	لەو لباسە دەڵپ و شووڕەگان مەخسووس مەراسم فارغ وە تەحسیلی وا وە پێ ئەوشن "رەدا" ها له بەرمان.
	
We listen impatiently to long speeches.	وە شەوقەو گووش ئەینه سوخەنڕانیەیل دریژ.
	
When the ceremony is over, we throw our caps in the air, and we are officially graduated from college, the senior class of Brandeis University in the city of Waltham, Massachusetts.	وەختێ مەراسم تەمام ئەود، کڵاوەگانمان هەڵ ئەخەینه هەوایا و رەسمەن ئەوینه فارغ وە تەحسیل دانشکەده. گروه ئەرشەد دانشگای براندیس وە شار "والتام"، ئەیاڵەت "ماساچوست".
	
For many of us, the curtain has just come down on childhood.	ئەڕای خەیلێگمان دەوران مناڵی تازه تەواو بۊه.
	
Afterward, I find Morrie Schwartz, my favorite professor, and introduce him to my parents.	جا ئوستاد مەحبووبم، موری شوارتز، ئەۊنم و وە داڵگ باوگم موعەڕفیی ئەکەم.
	
He is a small man who takes small steps, as if a strong wind could, at any time, whisk him up into the clouds.	پیای سووکەڵەیگه5 و هەنگاوەیل6 بۊچکێ ئەنێ، جوورێگ ئایەم ئەوشێ باد قورسێگ هەڵێ کا هەڵێ ئەگرێ ئەوادەی ئەڕای ناو هەورەیل.
	
In his graduation day robe, he looks like a cross between a biblical prophet and a Christmas elf He has sparkling blue green eyes, thinning silver hair that spills onto his forehead, big ears, a triangular nose, and tufts of graying eyebrows.	وەو رەداوە ئیمڕوو کردیەسە بەرێ، کەمێ شێوەی پەیغەمەرەیل بەنی ئسراییل گردیەسە خوەی. چەوەیل ئاوی و سەوز بەڕاقێگ دێرێ، مۊسەر نوقرەیی رەنگ، گووشەیل قەۊ، لۊت موسەلەسی و برووەیل خاکستەری.
	
Although his teeth are crooked and his lower ones are slanted back–as if someone had once punched them in–when he smiles it's as if you'd just told him the first joke on earth.	دیانەیلێ هەرچەن چەفتن و دیانە خوارێنەگانێ بەرەو ناو دەمێ هاتنه_چما یێ نەفەر داۊده ناو دەمێ_ ئانێ ئەخەنێ چما خەنیندارترین جوک دنیا ئەڕای وتیده.
	
