English	Gilaki
Shoulder Tendon:	ديۊش ٚ تاندؤن
The shoulder tendon is torn where I've marked. If the tendon is completely torn, the patient is under 70 years old, and the tear is less than 3cm, surgery can be performed after three months. We might avoid repair if these conditions exist:	ديۊش ٚ تاندؤن اۊرا که کت بزم، وزرسه. أخر تاندؤن کامل وزرسه بؤن و هفتاد سال بیجیر سند بدأره يؤ سؤ سانت أجي کمتر بۊبؤن، سؤماه سر عمل أگۊده شه. اي جير ٚ موارد أخر نابؤن بلي ترميم أجي پس‌أکشيم:
Age over 70 years	سند ۷۰ سال بؤجؤر
Diabetes and high cholesterol	دیابت ؤ جؤر ٚ کؤلسترؤل
Osteoporosis	پيۊت‌خاشي
Fatty deposits more than half of the tendon	چربي تاندؤن ٚ مئن، نصف أجي ويشتر نيشته بؤن
Tear larger than 3cm	سؤ سانت أجي ويشتر وزرسه بؤن
Remaining tendon less than 1.5cm	بؤمؤنؤسا تاندؤن ۱/۵ سانت أجي کمتر بؤبؤن
Tendon retracted 2.5cm	تاندؤن ۲/۵ سانت پسا بؤشؤبؤن
DDH	د.د.ه (DDH)
"This is a condition where the infant's hip joint gradually dislocates due to congenital reasons. Initially, it was called ""congenital,"" meaning Congenital Hip Dislocation. However, today we understand that not all cases present at birth, and many develop gradually."	"يه جۊر ناخؤشي هيسه که مأرآوردي دليلأن ٚ وأسر، ترليۊله کؤم ٚ دشکه، بریز بریز در شؤن‌. اوائل اين ٚ نام-ه ""مارآوردي"" همرأ هوردن. یعني congenital dislocation of hip گۊتؤن‌. ولي ايسه بفأمسيم که همه، اۊ دؤنيابؤما رۊز ٚ مئن در نيأن. و خيليان لس‌لسه در شؤن‌"
As shown in the figure, one of the best treatments is a device that keeps the legs bent, called a Pavlik harness.	هۊته که شکل ٚ مئن يئنين يته اۊن ٚ خؤجیرترين درمانأن، يه جۊر وسيله هيسه که لنگأن-ه فچمسأر دأره يؤ اۊن ٚ نام pavlik harness هيسه.
In the past, Gilak mothers who carried babies on their backs accomplished the same effect as the Pavlik harness with their shawls.	گيلکان ٚمأرؤن، دئوختان که وک‌وچاکؤن-ه کۊل‌أگيتن، هي پاولیک‌هارنس ٚ کار-ه خؤ چاد ٚ شؤو ٚ همرأ أنجؤم دأن‌
Swaddling is harmful for this condition, while carrying with a shawl like the Gilaks is beneficial.	قؤنداق گۊدؤن اي ناخوشي‌ره ضرره و گيلکان ٚ مۊسؤن چاد ٚ شؤو أجي کۊل أگيتن، فأيده هيسه.
Burns:	سۊت
Burns can be caused by fire, hot water or other hot substances, chemicals, and electricity.	سۊت تؤنه تش، سۊجین آو يا دبخه سۊجين‌ چيان، شيميايي مواد و الکتريسيته أجي ايجاد وکه.
Their depth is determined as follows:	اۊن ٚ جلفي-ه ايتؤ تعيين کۊنؤن:
Epidermal: Red and painful. Turns white when pressed. No scarring. Heals within ten days.	اپیدرمال: سۊرخه يؤ درد دأره. اۊن ٚ سر-ه فشلي سيفيد أبؤن. ديۊد (اسکار) دنکه. ده رۊز ٚ سر خۊب أبؤن
Epidermis and Dermis	اپيدرم ؤ درم
Blisters form. Painful. Still turns white when pressed. No smoke. Takes two weeks to heal.	آب‌پيله زنه.‌ درد دأره. هنده سر-ه فشلي سیفيد أبؤن. ديۊد دنکه. دؤ هفته دکشه تا خۊب أبؤن.
Surface areas of dermis become necrotic and form scabs. No longer red, mostly yellow. Smokes and takes more than three weeks to heal. (When a burn wound takes more than three weeks to heal, we must apply grafts to prevent infection)	درم ٚ سرسر نکرؤز وکه يؤ کنه دره. دئه سۊرخ نيه يؤ ویشتر زرد ٚ جۊره. ديۊد دکه يؤ سؤ هفته أجي ويشتر دکشه تا خۊب أبؤن. (وختي يته سۊته زخم، سؤ هفته أجي ويشتر دکشه تا خۊب أبؤن، أمۊ چل‌أزئن  ٚ دبئن ٚ وأسر با graft بنيم اۊن ٚ سر)
After two weeks when you remove the scab, you'll see the skin underneath is sprouting, which is called skin budding.	"دؤ هفته سر وختي اۊ کنه‌أ بکني، يئني پۊست اۊن ٚ بؤن ٚ را جي کل زأ دره که اۊن ٚ نام ""پۊست ٚ کل"" هيسه."
Epidermis, Dermis, and Hypodermis:	اپيدرم ؤ درم ؤ هيپؤدرم
In these, all blood vessels and nerves in the skin are burned, so there's no pain.	ايشان ٚ مئن دئه هرچي رگ ؤ عصب أن پۊست ٚ دل نابؤ بؤسۊته. پس درد ندأرن.
Colors vary, for example	رنگ أن مؤختلفه مثلن
Chemical burns are yellow or light brown	أخر شيميايي مواد أجي بؤبؤن زرد يا کاس‌أکتا رش ٚ جۊر هيسه.
Fire burns turn black	أخر تش أجي بؤبؤن سياه وکه
Hot water burns create red wounds	أخر سۊجین آو أجي بؤبؤن سۊرخ ٚجيجه هيسه.
All tissue from epidermis, dermis, and hypodermis to the bone is burned.	اپيدرم درم هيپؤدرم تا خاش هرچي بافت دره بؤسۊته.
Polio:	طفلؤن ٚ شلي
There is a virus called poliovirus	يته ويرۊس نئه که اۊن-ه پؤلیؤویرۊس دؤخؤنؤن.
It affects children under five years	پنج سال بيجير وک‌وچاکؤن-ه گيره
This virus enters the body through swallowing or through the lungs and shows symptoms after 2-20 days. (Sometimes it can remain hidden in the body for up to twenty years before showing symptoms)	اي ويرۊس، فبردن ٚ همرأ يا ففه‌أن ٚ را جي أمي جان ٚ مئن شؤن ؤ ايمه ۲۰-۲ رۊز ٚ پسي، علامت دهه (گاگلف حتا تا ۲۰ سال جان ٚ مئن دؤخؤسه يؤ ۲۰ سال تا اۊني علامت دأن، دکشه)
It has an acute phase where the child has mild fever and back pain, especially when lying supine and lifting their legs, the pain increases.	ايسه يته حاد ٚ فاز دأره که وچه یه مینه تؤو دأره، اۊني کمر درت وگیره يؤ خؤصۊصن دیمابؤجؤر خؤته‌بؤ اۊن ٚ لنگ-ه جؤؤر بيأري درت ویشتر وکه. 
Hands and feet tingle. One side might become paralyzed. When you touch the larger muscles, they cry out in pain. In medicine, we call this tenderness.	بالان ؤ لنگان بيج‌بيج کۊنؤن. بلي اۊن ٚ يه‌ديم أن شل أبؤن. پيل‌تران ٚ عضؤلأکؤن-ه دس بزني، درد أجي جره أنن. (اي حالت-ه پزشکي مئن گيۊييم tenderness )
The disease gradually begins to improve and muscle strength should return.	بریز بریز ناخؤشي بينا کۊنه خۊب‌أبؤن ؤ عضؤلأکؤن ٚ قؤدرت با وگرده.
Then over three months, if a muscle only has thirty percent of its previous strength, that muscle is paralyzed and won't recover.	ايمه سؤ ماه سر أخر یته عضؤله خؤ پیشأن قؤدرت ٚ ۳۰ درصد-ه فقط دأشته بؤن، اۊ عضؤله شل أبه يؤ دئه ونگرده
However, if eighty percent of strength returns, that muscle will fully recover in two years.	أما أخر هشتاد درصد اۊني قؤدرت وگرده، اۊ عضؤله دؤ سال ٚ سر کامل خۊب أبؤن‌.
A muscle that hasn't improved at all in six months won't improve.	يته عضؤله که شش ماه مئن هرگس خۊب ونکته، دئه خۊب‌أنؤبؤن
After two years, whatever weakness remains, orthopedists will treat with surgery, physiotherapy, and exercise.	دؤ سال ٚ پسي هرچي شلي بؤمؤنؤس، اؤرتؤپدان هأن ؤ ايمه جراحي ؤ فيزيؤتراپي يؤ ورزش ٚ همرأ اۊن-ه درمان کۊنؤن.
Doctor	دؤکتۊر
A HEN	کرک
Carlice Lispector	کلاریس لیسپئکتؤر
SHE WAS A SUNDAY HEN.	کرک، یکشمبه رۊزˇ پله خؤري شي بو.
SHE WAS STILL ALIVE ONLY BECAUSE IT was not yet 9.00 o'clock.	أگه تاهیسه زنده بۊ، اینˇ وأسي بۊ کي هلئه ساعت ۹ نۊبؤبۊ.
She seemed calm.	ايتؤ نظر أمأ کي تأمأچه ره.
Since Saturday she had cowered in a comer of the kitchen.	شمبه' جي تاهیسه آشپزخؤنه دیمه جۊکأزئه بۊ.
She didn't look at anyone, no one looked at her.	هي کسه نیگا نۊد، هي کسأ ني اینه نیگا نۊد.
Even when they had selected her, fingering her intimate ly and indifferently, they couldn't have said whether she was fat or thin.	وختي اۊشؤن اینه دؤجین بۊدن ؤ هۊتؤ بیخیال اینه بقایده أنگۊشتأگۊدن، مننیسن بۊگؤن پلفه' یا کي خأشه.
No one would ever have guessed that she had a desire.	"هي کس خیال نۊد کي ""کرک"" یأسه بدأره."
So it was a surprise when she opened her little wings, puffed out her breast, and, after two or three tries, reached the wall of the terrace.	هینˇ وأسی تعجۊبي بۊ  وختي خۊ کۊچˇ بالؤنه وابۊده، خۊ سینه' فۊلکأدأ، بأزۊن، دۊ سۊ دفأ حقسایˇ پسي، برسه تلارکهˇ دیواره.
