ckb_sentence	translation	variety	county	orthography
ئەگەرنا گەریلا مافی هەیە خۆپارێزی ڕەوا بەکاربهێنێت.	ئەگینا گەریلا مافش هەن ۋێپارێزنای ڕەۋا بەکار باۋەۆنە.	Standard		Hawrami
سەرسام دەبن.	تەعاجب مەندێ.	Standard		Hawrami
دواتر بە سرودی ئەیڕەقیب خولەکێک ڕێز لە گەشەپێدەرانی ڕێی ئازادی کوردستان گیرا.	دماتەر بە سرودو ئەی ڕەقیبی دەیەقێۋ ڕێز جە گەشمەدەکانو ڕاو ئازادی کوردستانی گیریا.	Standard		Hawrami
بە ناپاڵم و موشەک هێرشی کردە سەر شاری هەڵەبجە و شارۆچکەکانی سیروان و خورماڵ و گوندەکانی دەوروبەریان.	ناپاڵم و هۆشەیێ هێرشش کەرد سەرو شارو هەڵەبجەی و شارچەکێ سیروانی و خورماڵی و دەگایەکێ دەوروبەریشان.	Standard		Hawrami
هەرچی ڕۆژ هەیە دەبێت بیربکەمەوە و بزانم دەتوانم بەرهە بگرم، دەستی قڵیشاو ئێشک دەخاتە ناو ئاوی سارد و سابون دەیانکزێنێتەوە.	هەرچی ڕۆ هەن مشۆم فکریەونە بزانوو تاوو تەحەمل کەروو دەسێ قڵیشیێ و ئێشێ وزو دلێ ئاوێ چیێ و سابونی کزنێ.	Standard		Hawrami
دوو حەفتە جارێک زمانێک لەناودەچێت.	دوێ حەفتێ جارێو زوانێو فوتیۆ و دلێنە مشۆ.	Standard		Hawrami
ئەوەی کە لەناو پاڵێوراوەکان نەماوە و شوێنی دیار نییە.	چێوەی کە دلێ پاڵەویەکانە نەمەنەبیەن و شۆنیش نیەنە.	Standard		Hawrami
داواکارییەکەیان قبوڵبکەن.	داۋاکارییەکەیشان قبوڵبکەرانە.	Standard		Hawrami
بۆیە هەر چالاکییەک لە دژیان ئەنجام دەدرێت عیبادەتە و بە خێری ڕۆژوو حسابە.	پۆکەی هەر چالاکیێ دژشان ئەنجام مدریۆنە عیبادەتەن و بە ڕۆچێ خێرێ حسابەنە.	Standard		Hawrami
گەندەڵی و ساختەکاری و پاوانکاری و خراپی سیستەمی لە کوردستانی خوارەوەدا خستۆتەڕوو.	گەندەڵی و ساختکاری و پاوانکاری و خراپی سیستەمیش جە کوردستانی وارین ۋستەن ڕووە.	Standard		Hawrami
