en_sentence	translation	variety	county	orthography
then sight returned,	دماو ئەۋەگېڵای ۋینایش،	Lhoni	Tawella	Hawrami_var_1
with it feeling and grief.	چنی ئاڎیچی هەست و خەم	Lhoni	Tawella	Hawrami_var_1
I went back to my bed,	من پەی دلۍ یاگەوتەکەیم گېڵانېۋە،	Lhoni	Tawella	Hawrami_var_1
I lay down and thought	من پاڵکۆتا و ۋیرم کەردۆ	Lhoni	Tawella	Hawrami_var_1
but evidently changing his mind,	بەڵام پاسە دېیار بۍ ئاڎ پەیلۋاو وېش فاڕابۍ،	Lhoni	Tawella	Hawrami_var_1
sank slowly back again.	جارېۋی تەر هېواش هېواش نوقم بییۆ.	Lhoni	Tawella	Hawrami_var_1
I went at once to the window,	من یەکسەر بەرەو دوودەرییەکە لۋانۍ،	Lhoni	Tawella	Hawrami_var_1
I looked out.	من تەماشەو بەریم کەرڎ.	Lhoni	Tawella	Hawrami_var_1
unwilling to lose a moment,	گەرەکش نەبۍ ساتېۋش دەسەنەبەربشۊ،	Lhoni	Tawella	Hawrami_var_1
bent over their sewing.	وېش ملۊ هەرمانۊ ۋرازەیتەکەیشەرە چەمناراۋە.	Lhoni	Tawella	Hawrami_var_1
returned after a time to say	دماو ماۋېۋی گېڵاۋە تاکو ۋاچۊ	Lhoni	Tawella	Hawrami_var_1
that the only thing he could think of	تاقە چېۋېۋ کە ئاڎ متاۋۊ چەبارەش ۋیرکەرۊۋە	Lhoni	Tawella	Hawrami_var_1
I was compelled to go down to the spot where the animal had been	من ناچارە بېنۍ شۊنەڕاو ئاژەڵارە بلوو،	Lhoni	Tawella	Hawrami_var_1
I look around for it.	من شۊنۊ ئاڎیرە گېڵۊ.	Lhoni	Tawella	Hawrami_var_1
he had to make great mental efforts to take in	ئەشیێ هەژموونېۋی فرەی ئاۋەزی بەکاربەرۊ، تاکو بېیاۋۊنە،	Lhoni	Tawella	Hawrami_var_1
that she was alive and well	کە ئاڎە ژیۋۍ و سڵامەتە بۍ	Lhoni	Tawella	Hawrami_var_1
until finally he had gatheredsufficient courage to tell her	تاکو دماجار یاراش ئانەیە بە ئاڎۍ ۋاچۊ	Lhoni	Tawella	Hawrami_var_1
what was in his heart.	کە چېش دڵو ئاڎینە بۍ.	Lhoni	Tawella	Hawrami_var_1
but he shrieked so shockingly	بەڵام ئاڎ ئاڼە بە پەشۊکیایۆ هاوارش کەرڎ	Lhoni	Tawella	Hawrami_var_1
that I dared not proceed.	کە ئیتر من نەیارام بەرڎەۋام بوو.	Lhoni	Tawella	Hawrami_var_1
for the first time nervously,	پەی یەکەم جاری بە دەمارگیرییۆ،	Lhoni	Tawella	Hawrami_var_1
where he was concerned.	چاگە ئاڎ نیگەران بۍ.	Lhoni	Tawella	Hawrami_var_1
that he had made a mistake in the time and	کە چا کاتەنە ئاڎ هەڵەش کەرڎەبۍ و	Lhoni	Tawella	Hawrami_var_1
that everything had been different	گرڎ چېۋېۋ جۊرېۋتەر بۍ	Lhoni	Tawella	Hawrami_var_1
from what he had imagined	چانەیە کە ئاڎی ۋېنا کەرڎەبۍ	Lhoni	Tawella	Hawrami_var_1
set him thinking and counting,	ئاڎش بەرەو ۋیرۆکەرڎەی و لێکۆدای بەرڎ	Lhoni	Tawella	Hawrami_var_1
and evidently made him uneasy.	و بە ئاشکرا ئاڎی هەراسان کەرۍ.	Lhoni	Tawella	Hawrami_var_1
dined there,	چاگە ۋېراگانە وارڎ،	Lhoni	Tawella	Hawrami_var_1
drank a bottle of wine	بوتڵېۋ شەرابش وارڎۆ.	Lhoni	Tawella	Hawrami_var_1
her immediate feeling was to avert the subject,	هەستی کتوپڕو ئاڎۍ پاسە بۍ، مشیۊ باسەکەی فاڕۊ،	Lhoni	Tawella	Hawrami_var_1
if possible.	ئەر گونجیۊ.	Lhoni	Tawella	Hawrami_var_1
I realized that	من یاۋانېنە، کە	Lhoni	Tawella	Hawrami_var_1
I had been about to attack him.	خەریک بییەن من پەلامارۊ ئاڎی بڎەو.	Lhoni	Tawella	Hawrami_var_1
if it had, yet, as my affairs then stood,	ئەر چېۋەکە پاسە بییێ، سەرەڕاو ئانەی، کە بارو من چا کاتەنە چنین بییەن،	Lhoni	Tawella	Hawrami_var_1
I should perhaps, in point of prudence and self preservation	ڕەنگا من ۋەرو هاگاڎاری و وېپارېزی، کاروبارەکاو وېم پېسەو جارا ڕېکېۋزېنۍ	Lhoni	Tawella	Hawrami_var_1
without her being conscious of the fact,	بەبۍ ئانەی ئاڎە هاگاڎارو ئا ڕاسییە بۊ،	Lhoni	Tawella	Hawrami_var_1
I left him there,	من ئاڎم چاگە جېیائاست	Lhoni	Tawella	Hawrami_var_1
and proceeded down the valley alone.	و بە تەنیا دەرەکەرە ۋەرزتارە.	Lhoni	Tawella	Hawrami_var_1
I carried you to the wagon	من تۊم پەی لاو عەرەبانەکەی بەرڎی	Lhoni	Tawella	Hawrami_var_1
I hid you at the house of my people.	من تۊم جە یانەو کەسەکاو وېمەنە شارایۆ.	Lhoni	Tawella	Hawrami_var_1
coming out of the restaurant and purring like a cat,	چاشخانەکەنە زېیارە و پېسەو کتۍ بە وۍ پۊرەئاڵۊچنایۆ چفناش،	Lhoni	Tawella	Hawrami_var_1
that she would never forget this and that he would see and	کە ئاڎە هەرگیز ئی سۊزدارییە جە ۋیر نمەکەرۊ و ئاڎ بەزوویی ئانەیە ۋینۊ و	Lhoni	Tawella	Hawrami_var_1
that she would wear it for him the very first time.	کە ئاڎە پەی یەکەم جاری بەخاترۊ ئاڎی ئا جلا کەرۊنە.	Lhoni	Tawella	Hawrami_var_1
grant that in his presence	ڕا بڎە جە ئاماڎەبییەی ئاڎینە	Lhoni	Tawella	Hawrami_var_1
I may rather see my own vileness	من خاستەر خرابییەکاو وېمم ۋینوو	Lhoni	Tawella	Hawrami_var_1
covered by a mask of unconcern and ridicule of themselves, their situation,	بە دەمامکۊ بېخەمی و گاڵتە بە وۍ ئامای و بار و دۊخو وېش شارابېۋە،	Lhoni	Tawella	Hawrami_var_1
and the person for whom they were waiting.	ئا کەسە کە ئاڎی چەمەڕاش بېنۍ.	Lhoni	Tawella	Hawrami_var_1
until he was full of rapturous certainty,	تاکو ئاڎ جە دڵنېیایی پەرۊشانە پەڕ بی،	Lhoni	Tawella	Hawrami_var_1
and knelt close to her knees.	نزیکو زەنگۊڵا ئاڎېۋە چەمیاۋە.	Lhoni	Tawella	Hawrami_var_1
a statement which caused her to feel	قسېۋە کە ئاڎەش پاسە پنەکەرڎە،	Lhoni	Tawella	Hawrami_var_1
that perhaps after all she might have misjudged him.	کە ڕەنگا سەرەڕاو گرڎ چېۋېۋی بە هەڵە ئاڎش سزاۋار کەرڎەبۊ.	Lhoni	Tawella	Hawrami_var_1
felt for the other hand in the darkness,	وېڵ وېڵ تاریکینە گېڵایگېڵۍ	Lhoni	Tawella	Hawrami_var_1
found it waiting for him.	ئیستشۊ، ئانە کە چەمەڕاو ئاڎی بۍ.	Lhoni	Tawella	Hawrami_var_1
now the king put his'n on,	دەمودەست پاشا هینەکەو وېش پۊشا،	Lhoni	Tawella	Hawrami_var_1
he told me to put mine on.	ئاڎ بە منش ۋات منیش هینەکەو وېم پۊشوو.	Lhoni	Tawella	Hawrami_var_1
I was left far behind at the first mouthful,	من هەر جە سەرەتاۋە پاڎیەرە نەیاۋانی، هیچ شانسېۋم چنیش نەبۍ.	Lhoni	Tawella	Hawrami_var_1
I had no chance with him.	من هیچ شانسېۋم چنی ئاڎی نەبۍ.	Lhoni	Tawella	Hawrami_var_1
