en_sentence	translation	variety	county	orthography
The Kurds in a Volatile Middle East	کوردەل ڤە ڕووژهەڵات نامڕاست ێ پڕئاشوو	Sahneyi	Sahna	Laki Kurdish
Summary	پوختە	Sahneyi	Sahna	Laki Kurdish
This study examines the role of the Kurds in a rapidly changing Middle East.	ئی توێژینەوە ها شوون ئیسفاگرتن ئەژ نەخش کوردەل ڤە نام ڕووژهەڵات نامڕاسێ خەریکێ گوەڕیاین.	Sahneyi	Sahna	Laki Kurdish
While in the twentieth century, they were generally portrayed as a troublesome and victimized minority,	ڤە هاڵێ ک ئێ سەدەی بیستم؛ کوردەل ڤە گشتی جوور کەمینەی گیچەڵ دورسکەر و قوروانی کریا نیشان دریاوین؛	Sahneyi	Sahna	Laki Kurdish
by the turn of the twenty-first they had assumed the role of a national movement with a political agenda and narrative of their own.	ڤەگەرد دەس ئەرن کردن سەدەی بیست و یەکەم؛ ئەوانە نەخش جمشتێ نەتەوەیی ڤەگەرد بەرنامە سیاسی و ڕەوایەت تایبەت وژیان گرتنە دەس.	Sahneyi	Sahna	Laki Kurdish
They thus challenge the self-perceptions of the nation-states in which they reside:	ڤەی باوەتە؛ کوردەل وژئاگاداری دەوڵەت-ملەتەلێ ک ڤەنامێ نیشتەجان مەکیشنە چاڵش:	Sahneyi	Sahna	Laki Kurdish
Turkey, Iran, Syria and Iraq	دەوڵەت-ملەتەلێ تورکیە، ئێران، سوریە و عێراق	Sahneyi	Sahna	Laki Kurdish
Moreover, they have come to play a crucial role in combatting the radical Islamic State (IS),	زیاتر، ئەوانە نەخش گرانێ ڤە شەڕێ دەوڵەت ئێسلامی (داعش) دێرێن؛	Sahneyi	Sahna	Laki Kurdish
which threatens the whole Middle East region and the world beyond.	ک هەڕەشە مەکێ سەر کول ڕووژهەڵات نامڕاس و دونیای زیاتر ئەژ ئەۏهەم.	Sahneyi	Sahna	Laki Kurdish
Although the Kurdish movements in all four parts of Greater Kurdistan have been demanding the right of self-determination	گەرچێ جمشتەل کورد ڤەهەر چواربەش کوردستان داواکار ماف دیاری کردن چارەنۊس وژیانن؛	Sahneyi	Sahna	Laki Kurdish
they differ vastly  in their interpretation of the political embodiment of that right as well as its achievement on the ground	ئەمان ڤە شرۆڤەی سیاسی ئی حەقە و شێڤەی ڤەدەست هاوردنێ؛ ڤەگەرد یەک جیاوازیەلێ درێن	Sahneyi	Sahna	Laki Kurdish
Thus, Kurdistan in Iraq is inching towards independence	تەنانەت کوردستان عێراق ئیسکە ڤەرێ سەروژبوون مەچوو؛	Sahneyi	Sahna	Laki Kurdish
Kurdistan in Syria is in the midst of multiple revolutions	کوردستان سوریە هەسە نامجا سەرهەڵدانەل چەندگانە،	Sahneyi	Sahna	Laki Kurdish
Kurdistan in Turkey is in a dark period of unprecedented repression	کوردستان تورکیە ڤەگەرد دەورە تاریکانێ ئەژ سەرکوت بێ وێنە ڕوڤەڕوە	Sahneyi	Sahna	Laki Kurdish
and Kurdistan in Iran is searching for a political outlet	و کوردستان ئێران ها منەی دەستکەت سیاسیێ.	Sahneyi	Sahna	Laki Kurdish
This study analyzes the rivalry and interdependence among the four parts of Kurdistan	ئی پەیجورییە ململانی و هامکاری ڤە نامجا چوارپارچە کوردستان بەرەسییە مەکەێ	Sahneyi	Sahna	Laki Kurdish
as well as the dynamics of their relations with regional countries and the international community.	هەروەها پویایی پەیوەندەل ئەوانە ڤەگەرد ڤڵاتەل مەنتەقە و کوومەڵگەی نێودەوڵەتی.	Sahneyi	Sahna	Laki Kurdish
Now, with the entire region in a state of flux, the big question is whether or not	ئیسکە پرسیار کەڵینگ یەسە ک ڤە بوونەی بارودووخی نادیار مەنتەقە ڤە تەرز گشتی؛ ئەرێ یان نە؟	Sahneyi	Sahna	Laki Kurdish
the Kurds will manage to reshape the map of the Middle East	کوردەل مەتۊنن نەخشە ڕووژهەڵات نامڕاست جوورێ نووسازیا بکەن	Sahneyi	Sahna	Laki Kurdish
to fulfill their dream for a state or autonomous existence of their own.	ک شیرین خاوەلان ئەڕای دەوڵەت یا سەرڤەخوویی بایە ڕووژا	Sahneyi	Sahna	Laki Kurdish
For the greater part of the twentieth century,	ڤە بەش قڤینێ ئەژ سەدەی بیستم؛	Sahneyi	Sahna	Laki Kurdish
the political system in the Middle East was governed by the notion of the nation-state.	سیستم سیاسی ڕووژهەڵات نامڕاس ڤە ژێر کاریگەری مانای دەوڵەت-ملەت بی.	Sahneyi	Sahna	Laki Kurdish
In that system, there was little room for ethnic groups	ڤەنام ئی سیستمە؛ جا کەمێ ئەڕا دەستەل ئتنیکی ڤجود داشت	Sahneyi	Sahna	Laki Kurdish
that sought to preserve their identity and remain distinct from the hegemonic state.	ک ڤە شوون پاراستن شوناس جیاواز وژیان ڤە بەرامبەر دەوڵەت بان دەستا بین	Sahneyi	Sahna	Laki Kurdish
This was especially true for the Kurds,	ئی کێشە تەنانەت ئەڕا کوردەل دیاریە	Sahneyi	Sahna	Laki Kurdish
