en_sentence	translation	variety	county	orthography
A History of Kurdish Theatre	دیرووکێ ئەژ تئاتر کوردی	Pehley	Pahleh	Southern Kurdish
In Kurdistan, as elsewhere in the Middle East, a wide variety of performance activity existed long before the introduction of European-style theatre.	دە کوردستان، جوور دەڤەرەل تر ڕووژهەڵات‌نامین، ڤەرەژ یەتن و گەشەکردن تئاتر ڤە شێڤەی ئرووپایی، شێڤەل جوورڤەجوور فرەیێ ئەژ چاڵاکییەل شانۆیی بین.	Pehley	Pahleh	Southern Kurdish
Most notable of folk performance traditions which are specific to Kurdistan are the ones that were performed during Newroz, the celebration of spring equinox which marks the beginning of the year for the Kurds.	گرینگترین نەریتەل شانۆی فۆڵک ک تایبەت ڤە کوردستانە، نەریتەلێکن ک دە نەوڕووز، جەشن سەرەتای ڤهاری ک دەسپێک ساڵ نوو ڤەر کوردە، پێشکەش دڤین	Pehley	Pahleh	Southern Kurdish
"An important example of these performances, which were part of the Kurdish springtime festival, is ""mîrmîran"" or ""mîrmîrên"" (king of kings, or, playing king), a festival similar to the medieval Feast of Fools in which a mock king was chosen to rule temporarily."	"نموونەی گرنگی ئەژ ئێ پێشکەشکاریلە ک بەشێ ئەژ فێستیڤاڵ ڤهار کوردی بی، ""میرمیران"" یا ""میرمیرێن""، فێستیڤاڵێ هم‌شێڤەی ""جەشن ئەحمەقەل"" دە سەدەل نامەڕاسە ک دە نەوی یەێ پادشای ساختەگی ڤەر حوکمڕانی کاتی ئەڵبژاردریا"	Pehley	Pahleh	Southern Kurdish
In addition to Newroz festivals, Kurds have long held seasonal festivals such as the shepherd’s festival of kose-geldî or kose-kose, or rain rituals such as those of garwanekî (cattle-raid) and bûke-barane (rain bride).	"جگا ئەژ ڕێ‌وڕەسمەل نەوڕووز، کوردەل ئەژ زیەو فێستیڤاڵەل ڤەرزی جوور ""کۆسە گەلدی"" یا ""کۆسەکۆسە"" یا ڕێ‌وڕەسمەل ڤارۆن جوور ""گاروانەکی"" و ""بووکە بارانە"" ڤەڕێەو دڤردن."	Pehley	Pahleh	Southern Kurdish
But closest to the Western-style theatre in form is perhaps dramatic storytelling, a common tradition among most nations in the Middle East.	بەڵم ئەژ ڕی فۆرمەو، نزیکترینۆن ڤە تئاتر ڕووژاڤایی، هەدێ مەتەڵ‌ڤەشی دراماتیک بوو ک دە بەین فرەینەی ڤڵاتەل ڕووژهەڵات‌نامین نەریت 	Pehley	Pahleh	Southern Kurdish
Storytelling has been a popular form of entertainment among Kurds and an important repository of their oral literature.	هم‌بەشێکە مەتەڵ‌ڤەشی کات‌ڤەسەربردنێ نۆمدار و کووگەی گرنگ ئەدەبیات زارەکی کورد بییە	Pehley	Pahleh	Southern Kurdish
Kurdish romantic tales and historical narratives have long been performed by the Kurdish beytbêj in public places such as tea-houses.	چیرووکەل ئەڤیندارانە و گێڕانەوەل دیرووکی ئەژ زیەو ڤەیلا ئەژ لایەن بەیتبێژەل و بەیتڤەشەل کورد دە شوونەل گردی جوور چایخۆنەل پێشکەش دکریان	Pehley	Pahleh	Southern Kurdish
Despite a wealth of traditional performance traditions, modern drama in the Kurdish language appeared only in the early twentieth century.	سەرەڕای زوورمی نەریتەل خۆماڵی، شانۆی مودێڕن ڤە زۆن کوردی تەنیا دە سەرەتای سەدەی بیستمەو دەرکەفت.	Pehley	Pahleh	Southern Kurdish
The first mention of a Kurdish drama appears in the World’s Columbian Exposition, a world’s fair held in Chicago in 1893.	یەکەمین ئاماژە ڤە درامێکی کوردی دە پێشانگای جهانی کۆلۆمبیا دیاێە ڤەرچەو ک پێشانگای جهانیێکە ک دە ساڵ ١٨٩٣ دە شیگاکۆ ڤەڕێەوچی.	Pehley	Pahleh	Southern Kurdish
